"ID";"Name";"LatinName";"Photo";"LandscapingZone";"ProsperityPeriod";"Description";"LocationPlace";"ViewForm";"global_id";
"120";"Шалфей дубравный";"Salvia nemorosa";"9f86b68d-e560-471f-ba7f-7012c5a3a480";"Степь";"Июнь - август";"Шалфей дубравный издревле считается ценным медоносом. Шалфейный мёд применяют не только в пищу, но и широко используют в медицине. Шалфей дубравный он же сальвия дубравная - многолетний травянистый кустарник, достигающий в высоту до метра. Четырехгранные прямые стебли покрыты узкоовальными темно-зелеными листьями. Некрупные приятно пахнущие фиолетовые цветки на коротких опушенных цветоножках собраны в простые соцветия. Произрастает в Средней Европе, в предгорьях Крыма и на европейской части России. Предпочитает степи и степные склоны, сухие луга и лесные опушки.";"Степь";"Бесплатная";"881471964";
"121";"Ковыль волосовидный";"Stipa capillata";"7c6ffb94-fad5-41ef-87d3-76084662a685";"Степь";"Май - июнь
";"Семена ковыля волосовидного снабжены длинной остью, которая при увеличении влажности раскручивается и будто вбуравливает семя в почву. Ковыль волосовидный - многолетний травянистый злак в высоту достигающий 30-70 см. Крепкие голые стебли окружены щитовидно вдоль сложенными листьями. В период цветения на каждом колоске появляются седые нити длиной около 25 см, напоминающие конский волос. Во время сильного ветра на поле из ковыля создается ощущение, что по нему бегут зелено-серебристые волны. Ковыль предпочитает расти в луговых и нагорных степях и лесостепях европейской части России, в Закавказье и Западной Сибири.";"Степь";"Бесплатная";"881471971";
"122";"Коровяк фиолетовый";"Verbascum phoenicum";"65431742-8033-423e-8d7a-14fcf86f48c2";"Степь";"Июнь - июль
";"В природе коровяк фиолетовый - многолетнее растение, но в условиях Москвы двулетнее. На первом году жизни оно даёт розетку листьев, а на втором - зацветает и плодоносит. Коровяк фиолетовый - многолетнее травянистое растение с прямостоячим стеблем высотой до метра, нижняя часть которого покрыта желёзистыми волосками. Прикорневые листья, которые ботаники называют розеточными, густо опушены с обеих сторон. Одиночные цветки расположены на длинных цветоножках, собраны в кистевидное соцветие. Ареал коровяка фиолетового тянется из Средней Европы через всю Россию до западных окраин Китая. Встречается в долинах рек, сухих лугах и степях.";"Степь";"Бесплатная";"881471990";
"123";"Вероника колосистая";"Veronica spicata";"a8f773d0-1954-4404-a291-bd3c4e6879fe";"Степь";"Июнь - июль";"Вероника колосистая известна в культуре с 1570 года, а впервые описали этот вид больше чем 180 лет спустя, в 1753 году. Вероника колосистая - травянистое многолетнее растение высотой от 10 см до метра. Её прямые, обычно одиночные стебли покрыты маленькими волосками. Очередные ланцетные листья на небольших черешках расположены на стебли поочерёдно. Цветки собраны в густую кисть длиной до 30 см на верхушке стебля. Их цвет колеблется от бледно-розового до фиолетового. Вероника колосистая предпочитает расти на лесных лужайках, в степях, на склонах гор. В России встречается почти повсеместно в степной зоне и в горах до субальпийского пояса.";"Степь";"Бесплатная";"881472156";
"124";"Катран сердцелистный";"Crambe cordifolia";"7020d718-c10f-4a47-aa98-94c95ff05745";"Степь";"Июнь";"Молодые листья катрана сердцелистного имеют приятный капустный запах. Иногда их добавляют в салаты. Катран сердцелистный - травянистый многолетник высотой с человеческий рост и с длинным стержневым корнем. Голые сильноветвистые стебли покрыты большими сердцевидными листьями, которые становятся фиолетовыми при распускании. Многочисленные белые цветки пахнут резко и образуют метёлковидное соцветие. Родина растения - Кавказ. На территории России встречается в предгорьях Кавказа, также произрастает в бассейне Средиземного моря. Растет в степях и на каменистых почвах.";"Степь";"Бесплатная";"881472192";
"125";"Катран татарский";"Crambe tatarica";"f415a002-90ff-45fe-b59a-8bc13f120a20";"Степь";"Май - июнь";"Когда семена катрана татарского созревают, его цветонос засыхает, отрывается от корневища и катится по степи, раскрывая по пути плоды. Катран татарский - многолетний сизо-зеленый корневищный кустарник высотой до полутора метра. Стебель сильноветвящийся, во время плодоношения превращается в «перекати-поле» и таким образом распространяет семена на дальние расстояния. Прикорневые листья ланцетные перисто-раздельные на небольших черешках. Многочисленные белые цветки образуют сложную кисть. На территории России встречается в европейской части, в Западной Сибири и предгорьях Кавказа. Предпочитает степи и лесостепи.";"Степь";"Бесплатная";"881472196";
"126";"Синеголовник плосколистный";"Eryngium planum";"b0a1d4cc-5ba6-40d6-83f7-1ce0f4e09695";"Степь";"Июнь - август";"Побеги синеголовника плоского часто используют в сухих композициях, а фенольные соединения, испаряющиеся при сушке, убивают болезнетворные микроорганизмы в воздухе. Синеголовник плоский - многолетник со стрежневым корнем и прямостоячим стеблем высотой до метра. Все части растения имеют голубой или фиолетовый оттенок, особенно ярко выраженный на соцветиях. Стебли синеголовника покрыты жесткими кожистыми листьями коротких черешках. Голубые или синие цветки собраны в плотные головчатые соцветия. Растет на сухих лугах, лесных опушках, по берегам рек, предпочитает сухие и солнечные места. Произрастает в европейской части России, на юге Западной Сибири и на Северном Кавказе.";"Степь";"Бесплатная";"881472233";
"127";"Качим метельчатый";"Gypsophyla paniculata";"6c7d79ab-b5d9-4b15-ae34-ea2e4e8aa016";"Степь";"Июнь - июль
";"Качим метельчатый способен расти на песках, поэтому его насаждения используют для защиты почв от выветривания. Качим метельчатый - многолетнее травянистое растение высотой до метра с длинным корнем и раскидистым широким стеблем. Сильноветвящиеся стебли образуют кусты шаровидной формы. После «куст» отрывается от корня и начинает существовать в форме перекати-поля. Его вытянутые остроконечные листья покрыты восковым налетом. Многочисленные розовые или белые образуют раскидистое соцветие-метелку. Ареал качима охватывает степную зону Европейской части России и заходит на юг Западной Сибири.";"Степь";"Бесплатная";"881472328";
"128";"Пион тонколистный";"Paeonia tenuifolia";"9f213ef1-6091-4905-9281-d4c29605d85c";"Степь";"Май
";"Дикий пион узколистный в России можно встретить лишь в Крыму или на Кавказе. Культурные сорта более морозоустойчивы, их можно увидеть значительно севернее. Пион узколистный - красивоцветущее многолетнее растение, вырастающее до полуметра в высоту. Изящный стебель с одиночным цветком на вершине покрыт рассеченными на мелкие доли ажурными листьями. Темно-пурпурные или ярко-красные цветы шаровидной формы диаметром до 8 см состоят из 8-10 лепестков. В природе пион узколистный встречается в лесостепной и степной зоне. Растёт на территории Восточной Европы, на Балканском полуострове, на Кавказе и в Крыму.";"Степь";"Бесплатная";"881472397";
"130";"Ломонос цельнолистный";"Clematis integrifolia";"12a5cfd2-d219-46d0-8a75-17f0cb1f2be7";"Степь";"Июнь - июль";"Название «ломонос» возникло из-за резкого запаха растения, способного вызывать насморк. Ломонос цельнолистный -многолетний полукустарник высотой около полуметра. Его прямостоячие стебли покрыты мелкими белыми волосками. Листья ланцетные с резко выступающими жилками. Тёмно-фиолетовые или чёрно-пурпурные цветки большей частью одиночные и расположены на верхушке стебля или боковых ветвей. Растет в степях, на лесных опушках, в долинах горных рек и в зарослях кустарников. В России встречается на Северном Кавказе и Алтае.";"Степь";"Бесплатная";"881472430";
"131";"Тюльпан Биберштейна";"Tulipa biebersteiniana";"f674b90a-4072-422e-8462-8d776acce3d3";"Степь";"Апрель - май
";"Тюльпан Биберштейна обычно встречается в степях. В Московской области он растёт в единственном месте на территории Приокско-террасного заповедника. Тюльпан Биберштейна - многолетнее луковичное растение, многократно цветущее и плодоносящее в течение жизни. На стебле высотой около 25 см обычно располагаются 2-3 узких листа, напоминающих желобок. Цветок обычно одиночный, в солнечную погоду широко раскрытый, золотисто-желтые листочки околоцветника заостренной формы. Предпочитает расти в степной зоне, на лесных опушках и в кустарниковых зарослях. Произрастает в Восточной и Юго-Восточной Европе, Северной Азии, на Кавказе и в Западной Сибири.";"Степь";"Бесплатная";"881472447";
"132";"Ирис болотный";"Iris pseudacorus";"e35c3fa9-7a9f-45fe-881f-88a030f4936a";"Прибрежный лес";"Июнь - июль";"Корневища ириса болотного содержат множество пахучих веществ, среди которых выделяется ирон. Он придаёт корневищам запах фиалок.Многолетнее растение высотой до полуметра с плотным стеблем, который в верхней части ветвится. Зеленые мечевидные листья посередине имеют четко выраженную жилку. Собранные в пучки ярко-желтые цветки держатся на стройных цветоножках. Ирис ложноаировый растет, как правило, в поймах рек, по берегам водоемов и на болотах. Встречается в Европейской части России, на Кавказе и в Западной Сибири.";"Прибрежный лес";"Бесплатная";"881472465";
"133";"Ирис сибирский";"Iris sibirica";"dcf4395c-e3fb-406e-bc7e-44401c8bb4f0";"Прибрежный лес";"Июнь
";"Ирис сибирский - многолетнее корневищное растение высотой до метра с крупными линейными листьями до 80 см в длину. Бледно-розовые или синие цветки сидят на цветоножках разной длины. Ареал ириса сибирского вовсе не ограничивается одной лишь Сибирью, это растение встречается от севера Италии до Байкала. Южная граница его распространения проходит по Кавказу и Северной Турции, а северная - по Архангельской области и республике Коми.";"Прибрежный лес";"Бесплатная";"881472587";
"134";"Посконник пурпурный";"Eupatorium purpureum";"8fa42664-3b4c-4fc3-9d02-9a40eae91f3a";"Прибрежный лес";"Июль - август";"Посконник пурпурный родом из Северной Америки. Его культивируют по всему миру, и только в Новой Зеландии этот вид сумел одичать. Посконник пурпурный - многолетнее травянистое растение с высокими прямыми стеблями, способными достигать двух метров в высоту. Крупные овально-ланцетные листья покрывают стебель от прикорневой зоны до самой верхушки. Цветки собраны в щитковидные соцветия, а их окраска варьирует от светло-розовых до пурпурных оттенков. Родиной посконника пурпурного считается Северная Америка, а в Европу его завезли около трехсот лет назад.";"Прибрежный лес";"Бесплатная";"881472690";
"135";"Дербенник иволистный";"Lithrum salicaria";"a691e9f8-445a-473e-86d7-6e40dacbeab9";"Прибрежный лес";"Июль - август";"В русских легендах дербенник иволистный называют плакун-травой. По поверьям, эта трава заставляет бесов плакать, поэтому из неё делали нательные амулеты. Дербенник иволистный также зовется плакун-травой. Народное название он получил благодаря особенности, с помощью которой растения избавляются от лишней влаги: наутро после сырой ночи на концах листьев растения образуются капельки воды, напоминающие слезы. В высоту дербенник достигает 80-140 см, листья ланцетовидные, фиолетово-красные звездовидные цветки собраны в плотные колосья. Растет по берегам водоемов, болот и на сырых лугах. В России встречается повсеместно за исключением Арктики.";"Прибрежный лес";"Бесплатная";"881472707";
"136";"Незабудка лесная.";"Myosotis sylvestris.";"3be37c89-87dd-48a5-bc9d-ed8b40a0a1e6";"Прибрежный лес";"Май - июнь
";"Незабудка лесная - аборигенное растение широколиственных и смешанных лесов Европы. Её ареал тянется от атлантического побережья Евразии до Урала. От своих родственников незабудка лесная отличается лишь по тонким признакам, ботаники их различают уже после цветения. У незабудки лесной плод выглядывает из-под чашелистиков, а у ближайшей родственницы, незабудки полевой, - полностью скрыт.";"Прибрежный лес";"Бесплатная";"881472710";
"137";"Белокопытник широкий";"Pelasites ampulus";"a03ac70b-6544-4eee-bb04-275d4a0fb27b";"Прибрежный лес";"Май";"Белокопытник японский - близкий родственник мать-и-мачехи. Оба вида цветут рано весной, а листья образуют ближе к лету. Белокопытник японский - многолетнее растение с длинным ветвистым корневищем. Жители Дальнего Востока называют его «лопухом», и действительно у растений этого вида самые большие листовые пластинки среди сложноцветных, которые могут достигать метра в диаметре. Желто-белые цветы, собранные в корзинки, появляются раньше листьев. Произрастает на территории Японии, в Корее и Китае, в России встречается на Сахалине и Курильских островах.";"Прибрежный лес";"Бесплатная";"881472716";
"138";"Купальница европейская";"Trollius europaeus";"7f4c1620-046f-4072-aa31-e2ba774e7cd2";"Прибрежный лес";"Май - июнь
";"Своё название купальница европейская получила из-за того, что растение можно часто встретить в переувлажнённых местах. Высота побегов купальницы зависит от условий произрастания и варьирует от 20 см до метра. Листья пальчатораздельной формы, крупные золотистые или бледно-жёлтые цветки состоят из 10-20 вогнутых овальных лепестков. Произрастает в Европе почти повсеместно, также встречается в западной Сибири. Растет на влажных лугах и полянах, опушках смешанных лесов и в зарослях кустарника";"Прибрежный лес";"Бесплатная";"881472736";
"139";"Горец змеиный";"Polygonum bistorta";"f62b5b32-d18a-4014-94a6-90a761c26e0a";"Прибрежный лес";"Май - июнь";"Корневище горца змеиного выглядит очень необычно: оно короткое, толстое и змееобразно изогнутое. От него и пошло название вида. Горец змеиный обязан названием форме корневища: оно змеевидно изогнуто, слегка сплющено и имеет множество придаточных корней. Стебель прямостоячий и неветвящийся, листья продолговато-ланцетные, имеют слегка волнистые края. Мелкие душистые цветки располагаются на длинной цветоножке и появляются в мае-июне. Горец встречается от тундры и высокогорий до степей и лесостепей.";"Прибрежный лес";"Бесплатная";"881472739";
"140";"Горицвет кукушкин";"Lichnis flos-cuculi";"ce5c4ffc-dedc-4f7d-988a-29d2f9694ae7";"Прибрежный лес";"Июнь";"Чашечка кукушкиного цвета вытянута вглубь и не позволяет добраться до нектарников мелким насекомым. Эта задача под силу лишь бабочкам и шмелям. Кукушкин цвет обыкновенный - многолетнее травянистое растение с прямым ветвистым стеблем высотой до метра, покрытым тонкими волосками. Прикорневые и стеблевые листья имеют ланцетную форму. Мелкие розовые или белые цветочки собраны в метельчатое соцветие. Кукушкин цвет произрастает по всей Европе, на Кавказе и в Сибири, а также встречается как заносное на Дальнем Востоке и в Северное Америке. Предпочитает лесные поляны, берега водоемов и болота.";"Прибрежный лес";"Бесплатная";"881472744";
"141";"Фалярис тростниковый";"Phalaris arundinaceae";"1032d73f-60cf-4ea0-ba7c-fac01439db4a";"Прибрежный лес";"Июль";"В листьях фаряриса (канареечника) тростниковидного содержится много алколоида грамина. Для человека он безопасен, но на мелких животных оказывает паралитическое действие. Канареечник тростниковидный - многолетний злак с длинным ползучим корневищем. Прямой округлый стебель может вырастать выше человеческого роста. Плоские широкие листья пластинки до 30 см в длину, мелкие цветки бледно-зеленого или лилового цвета собраны в колоски длиной около 5 мм. Канареечник растет в поймах крупных рек, на болотах, на заливных лугах, в сырых разреженных лесах. Широко распространен в умеренной зоне Европы, Северной и Восточной Азии, Северной Америки.";"Прибрежный лес";"Бесплатная";"881602657";
"142";"Астильба гибридная";"Astilbe hybrida";"fc155709-798c-43d3-a30f-8b3b5f424b2e";"Прибрежный лес";"Июль - август";"Астильба гибридная - многолетнее растение с рассечёнными тёмно-зелёными листьями, образующих густые заросли. Цветки собраны в метёлковидные соцветия около полуметра длинной. Окраска соцветий может быть белой, различных оттенков красного и розового, пурпурной, фиолетовой варьируется в зависимости от сорта. Дикие родственники растения встречаются на территории России на Дальнем Востоке, в Восточной Азии, Японии и Северной Америке.";"Прибрежный лес";"Бесплатная";"881602669";
"143";"Лилейник гибридный";"Hemerocalis hybrida";"9da81935-892e-4c7a-b437-e4df895b115d";"Прибрежный лес";"Июль - август";"Лилейник гибридный - общее название для огромного количества сортов гибридного происхождения, на данный момент насчитывается около 60 000 сортов. Они представляют собой травянистые многолетники с толстыми мясистыми корнями и обычно образуют плотные кусты. Их шестилепестные цветки часто называют лилиями, хотя они приходятся родственниками лишь на уровне семейства. Природные виды лилейника растут на Дальнем Востоке, в Китае, Корее и Японии.";"Прибрежный лес";"Бесплатная";"881602681";
"144";"Щучка дернистая";"Deschampsia caespitosa";"55592fa6-7ba8-45bd-9923-8dc9371a4d21";"Прибрежный лес";"Июнь
";"Своё русское название щучка дернистая получила из-за волосков на листьях, которые впиваются в кожу, если провести пальцем в сторону основания листа. Щучка дернистая - многолетний злак, образующий плотные дернины и кочки с множеством тонких длинных листьев, не отмирающих на зиму. Стебли голые и прямые в высоту могут достигать метра, листья плоские и узколинейные, с выступающими шероховатыми жилками. В июне-июле образуются побеги с раскидистыми метелками, состоящими из почти горизонтально отклоненных колосков. Произрастает на влажных и заболоченных лугах, на берегах болт и водоемов по всему северному полушарию.";"Прибрежный лес";"Бесплатная";"881602716";
"145";"Телиптерис болотный";"Thelypteris palustris";"12574d54-673b-4101-a1b7-d202ddd74cb4";"Прибрежный лес";"Не цветет
";"Телиптерис болотный - папоротник до 70 см высотой с ползучим шнуровидным корневищем. Листья папоротника (вайи) расставленные или скученные на тонком голом черешке. Пластинки листьев продолговато-ланцетные, дважды перистые. Края спороносных листьев завернуты к низу. Широко распространен в Северной Америке, Европе, Северной Африке и Северной Азии. Чрезвычайно влаголюбив, произрастает в заболоченных лесах, низинных и верховых болотах, по берегам водоемов.";"Прибрежный лес";"Бесплатная";"881602739";
"146";"Лютик ползучий";"Ranunculus repens pleniflorus";"5107597d-0baa-4a50-9769-48c1d0ad0d11";"Прибрежный лес";"Июнь - июль";"Латинское название лютика ползучего образовано от слова «rana» (лягушка). Плод лютика показался Карлу Линнею похожим на лягушачью икру, отсюда и название. Лютик ползучий - многолетнее травянистое растение до полуметра в высоту, стебель восходящий или стелющийся. Прикорневые листья у лютика все очередные, тройчатые разделенные на три доли, верхние продолговатые и на черешках. Золотисто-желтые с характерным блеском цветки состоят из пяти лепестков. Лютик произрастает в европейской части России, на Кавказе, Камчатке и в Сибири. Встречается почти повсеместно, даже на городских газонах.";"Прибрежный лес";"Бесплатная";"881602788";
"147";"Лабазник вязолистный";"Filipendula ulmaria";"ae58eeaf-82ed-4a40-aa25-7c99b63b155c";"Прибрежный лес";"Июнь - июль";"Во многих российских регионах лабазник больше известен как медуница – растение названо так из-за сильного медового аромата. А английские имена – «королева луга», «гордость луга» – прекрасно описывают внешний вид этого пышного кремово-белого цветка, достигающего двух метров в высоту. Лабазник вязолистный имеет мочковатую корневую систему без клубней. Растение имеет гладкие прямостоячие стебли, густо покрытые листьями. Мелкие бледно-желтые или кремовые цветки собраны в рыхлые метельчатые соцветия длиной до 20 см. Цветет лабазник с июня по июль.";"Прибрежный лес";"Бесплатная";"881602810";
"149";"Стрелолист широколистный";"Sagittaria latifolia";"f296801e-7a99-42bb-a65d-7a37971dfa14";"Прибрежный лес";"Июль - сентябрь";"Стрелолист широколистный. У стрелолиста широколистного есть листья трёх форм: ланцетовидные под водой, овальные плавающие и стреловидные в воздухе. Такое явление называется гетерофилией. Стрелолист широколистный - многолетнее растение, полностью или частично растущее в воде. Лентообразные и резко суженные к концу листья без черешков образуют ползучие побеги, на конце которых нерегулярно образуются клубни. Также имеются плавающие эллиптические листья и надводные листья, имеющие форму стрелки и несущие на себе бутоны, из которых потом появляются мелкие белые цветы. Среда обитания стрелолиста - озёра и медленно текущие реки Северной и Центральной Америки.";"Прибрежный лес";"Бесплатная";"881602907";
"150";"Аир болотный";"Acorus calamus";"952b693a-c243-440b-9568-097ecacb2554";"Прибрежный лес";"Июнь - июль
";"В народе аир болотный иногда называют татарским зельем. Это связано с тем, что на территории Европейской России растение занесли татаро-монголы во время нашествия. Аир болотный - многолетнее растение способное расти как в почве, так и на воде. Цветоносный стебель с желобком по одному из ребер вырастает до полутора метров высотой. Листья мечевидной формы и по длине могут быть равны стеблю. Жёлто-зеленоватые мелкие цветки собраны в плотные цилиндрические початки. Аир предположительно выходец из Индии и Китая при помощи человека распространился по всему миру, в качестве среды обитания выбирает болотистые местности и мелководья.";"Прибрежный лес";"Бесплатная";"881602954";
"151";"Рогоз Лаксмана";"Typha laxmannii";"67577466-d777-4a1e-8f5b-28f1003bcf73";"Прибрежный лес";"Июнь - июль";"Рогоз Лаксмана - многолетнее земноводное растение высотой до метра. От других видов рогоза, произрастающих в России, отличается более тонким и стройным стеблем. Листья узколинейные, до 5 мм шириной, на спинке выпуклые. Тычиночная часть соцветия отстоит на 1-6 см от продолговато-яйцевидной пестичной части. Распространен повсеместно в теплых и умеренных областях Евразии, в азиатской части России встречается в южных областях. Растет рогоз по берегам водоемов, болот, солончаковым лугам, встречается на обочинах дорог, в канавах и кюветах.";"Прибрежный лес";"Бесплатная";"881603038";
"152";"Осока метельчатая";"Carex paniculata";"2fd65e9a-db72-4e99-9148-89c1e948cd9b";"Прибрежный лес";"Июнь";"Колоски осоки метельчатой обоеполые, причем мужские цветки в них находятся выше женских. Это особенно заметно во время цветения. Осоку метельчатую можно увидеть растущей по берегам водоемов, на заболоченных лугах и болотах. Встречается от таежной зоны до средиземноморской области Европы, а также в Предкавказье. Многолетние растения высотой до метра образуют плотные кочки. Крепкий стебель с выпуклыми сторонами окружен жесткими серо-зелеными листьями. Соцветия, появляющиеся в начале лета, - колоски, собранные в рыхлые продолговатые метелки длиной с ладонь.";"Прибрежный лес";"Бесплатная";"881603073";
"153";"Клубнекамыш морской";"Bolboschoenus maritimus";"b164066e-060c-4329-9639-d62e5e53293e";"Прибрежный лес";"Май - август";"Клубнекамыш морской - многолетнее растение с длинными ползучими корневищами, на концах которых развиваются шарообразные клубни. Плоские и длинные листья до сантиметра шириной, цветки собраны на вершине стебля в тёмно-бурые колоски. Клубнекамыш произрастает на территории почти всего земного шара за исключением Арктики, Антарктиды и Австралии. Его можно встретить по берегам стариц, озер, прудов и болот.";"Прибрежный лес";"Бесплатная";"881603096";
"154";"Сусак зонтичный";"Butomus umbellatus";"b6e12e01-1de0-4072-b7ec-c7207323a716";"Прибрежный лес";"Июнь - июль
";"Корневища сусака зонтичного содержат много углеводов и белков. До появления пшеничного хлеба в Якутии они были основной растительной пищей. Сусак зонтичный - яркий представитель болотного высокотравья, его легко узнать по крупным светло-розовым цветкам, собранным в зонтик. В России произрастает почти повсеместно, за исключением Арктики и севера таежной зоны. Встретить сусак можно по топким берегам водоемов, на болтах, в стоячих и медленно текущих водах. В высоту растение может достигать полутора метров. Листья длинные прямостоячие, отходят от основания безлистного стебля, на котором располагается зонтик розовых цветов до 2,5 см в диаметре.";"Прибрежный лес";"Бесплатная";"881603146";
"155";"Вахта трехлистная";"Menyanthes trifoliata";"29ffa680-a510-424b-818f-4d5439e1c338";"Прибрежный лес";"Май - июнь";"Вахта трехлистная - многолетнее растение, произрастающее по всей умеренной зоне Евразии. Встретить её можно по берегам медленно текущих или стоячих водоемов, на болотах, торфяниках и минеральных грунтах. Корневище вахты длинное и ползучее, внутри губчатое и пронизанное воздухоносными полостями. Листья отходят от толстого корневища на длинных черешках 15-30 см длиной. На безлистных цветоносных стеблях располагаются белые или бледно-розовые цветки, собранные в густую прямостоячую кисть.";"Прибрежный лес";"Бесплатная";"881603527";
"156";"Кубышка жёлтая";"Nyphar lutea ssp.lutea";"b9812189-7207-4c19-af28-72bde3aae596";"Прибрежный лес";"Июнь - сентябрь
";"Кубышка близкий родственник кувшинки, ее даже часто называют желтой кувшинкой, однако, в отличие от нее имеет цветок ярко желтого цвета. Кубышка повсеместно произрастает в европейской части России, а также на Кавказе и в Сибири. Ее можно встретить растущей зарослями по берегам медленно текущих рек, в заводях, прудах и озерах. Длинное и толстое корневище располагается под водой, над поверхностью воды плавают крупные сердцевидно-овальные листья. Желтые цветы с запахом алкоголя выдаются из воды на 5-6 см, на ночь закрываются, но не погружаются в воду.";"Прибрежный лес";"Бесплатная";"881603562";
"157";"Кувшинка белоснежная";"Nymphaea candida";"7e660c86-5e7c-47c6-8a39-2d271bc13ed9";"Прибрежный лес";"Июнь - сентябрь";"Согласно легендам, одна нимфа страдала от неразделённой любви к Гераклу, и боги превратили ее в цветок. Отсюда и латинское название кувшинки белоснежной. Кувшинка белоснежная - многолетнее водное растение, его часто можно встретить в Европейской части России, а также в южных районах Сибири. Предпочитает расти на небольшой глубине в водоемах с медленно текущей или стоячей водой. Округлые листья с длинными черешками плавают на поверхности воды, пластинка листа с крупными заостренными лопастями в основании. Крупные цветки с большим количеством лепестков на ночь закрываются и опускаются в воду, чтобы утром всплыть и раскрыться.";"Прибрежный лес";"Бесплатная";"881603598";
